year,area,plus,minus
1462,2482832.838,,
1463,2482832.838,,
1464,2466941.423,,15891.41441
1465,2466941.423,,
1466,2466941.423,,
1467,2466941.423,,
1468,2466941.423,,
1469,2466941.423,,
1470,2466941.423,,
1471,2466941.423,,
1472,2466941.423,,
1473,2466941.423,,
1474,2466941.423,,
1475,2466941.423,,
1476,2466941.423,,
1477,2466941.423,,
1478,2406946.221,,59995.20193
1479,2406946.221,,
1480,2406946.221,,
1481,2406946.221,,
1482,2406946.221,,
1483,2406946.221,,
1484,2538589.668,131643.447,
1485,2559232.364,20642.69616,
1486,2559232.364,,
1487,2802120.639,242888.2742,
1488,2802120.639,,
1489,2802120.639,,
1490,2802120.639,,
1491,2802120.639,,
1492,2802120.639,,
1493,2802120.639,,
1494,2842435.373,40314.73493,
1495,2842435.373,,
1496,2842435.373,,
1497,2842435.373,,
1498,2842435.373,,
1499,2842435.373,,
1500,2889917.066,47481.69258,
1501,2889917.066,,
1502,2889917.066,,
1503,3142828.994,252911.928,
1504,3142828.994,,
1505,3142828.994,,
1506,3142828.994,,
1507,3142828.994,,
1508,2893657.638,,249171.3566
1509,2893657.721,,
1510,2896799.221,3141.499324,
1511,2896799.221,,
1512,2896799.221,,
1513,2896799.221,,
1514,2896799.221,,
1515,2896799.221,,
1516,2896799.221,,
1517,2896799.221,,
1518,2896799.221,,
1519,2896799.221,,
1520,2896799.221,,
1521,2896799.221,,
1522,2919774.012,22974.79178,
1523,2919773.929,,
1524,2919773.929,,
1525,2919773.929,,
1526,2919773.929,,
1527,2919773.929,,
1528,2919773.929,,
1529,2919773.929,,
1530,2919773.929,,
1531,2919773.929,,
1532,2919773.929,,
1533,2919773.929,,
1534,2919773.929,,
1535,2919773.929,,
1536,2919773.929,,
1537,2788204.109,,131569.8198
1538,2788204.109,,6214.222503
1539,2788204.109,,
1540,2788204.109,,
1541,2788204.109,,
1542,2788204.109,,
1543,2788204.109,,
1544,2788204.109,,
1545,2788204.109,,
1546,2788204.109,,
1547,2788204.109,,
1548,2788204.109,,
1549,2788204.109,,
1550,2788204.109,,
1551,2807330.202,19126.09313,
1552,3169555.872,362225.6696,
1553,3169555.872,,
1554,3169555.872,,
1555,3659572.686,490016.8146,
1556,4010949.132,351376.4463,
1557,4520407.22,509458.0877,
1558,4520407.22,,
1559,4520407.22,,
1560,4520407.22,,
1561,4520407.22,,
1562,4520407.22,,
1563,4520407.22,,
1564,4520407.22,,
1565,4520407.22,,
1566,4520407.22,,
1567,4520407.22,,
1568,4520407.22,,
1569,4520407.22,,
1570,4547179.454,26772.23436,
1571,4547179.454,,
1572,4057162.64,,490016.8146
1573,4057162.64,,
1574,4057162.64,,
1575,4057162.64,,
1576,4057162.64,,
1577,4081547.687,24385.04669,
1578,4081547.687,,
1579,4081547.687,,
1580,4081547.687,,
1581,4081547.687,,
1582,4559874.779,478327.0922,
1583,4750859.935,190985.1561,
1584,4750859.935,30527.67621,
1585,4750859.935,,
1586,4878125.294,127265.3596,
1587,4878125.294,,
1588,4878125.294,,
1589,4878125.294,,
1590,4878125.294,,
1591,4878125.294,,
1592,4878125.294,,
1593,4878125.294,,
1594,5149856.626,271731.3312,
1595,5355279.602,205422.9758,
1596,5355279.602,182650.2347,
1597,5537929.861,,
1598,5537929.861,,
1599,5537929.861,,
1600,5716062.385,178132.5241,
1601,5716062.385,,
1602,5716062.385,,
1603,5716062.385,,
1604,5801420.727,85358.3419,
1605,5801420.727,,
1606,5801420.727,,
1607,5841121.204,39700.4766,
1608,5841121.204,,
1609,5841121.204,,
1610,5841121.204,,
1611,5841121.204,,
1612,5841121.204,,
1613,5841121.204,,
1614,5841121.204,,
1615,5841121.204,,
1616,5841121.204,,
1617,5759259.254,,81861.94991
1618,5679829.968,,79429.28576
1619,6462982.165,783152.1972,
1620,6773153.778,1093323.81,
1621,6773153.778,,
1622,6773153.778,,
1623,6773153.778,,
1624,6773153.778,,
1625,6773153.778,,
1626,6773153.778,,
1627,6773153.778,,
1628,6818275.496,45121.71844,
1629,6818275.496,,
1630,6926678.938,108403.4416,
1631,7211099.934,284420.9964,
1632,7530448.659,319348.7249,
1633,7530448.659,,
1634,9603725.574,2073276.915,
1635,9603725.574,,
1636,9637027.795,33302.22172,
1637,9637027.795,,
1638,9873267.775,236239.9798,
1639,10012524.83,139257.0529,
1640,10147633.16,135108.3313,
