fid,upperdat,lwdate,eventstart,status,name,desc_link,comments
791,1330-12-31,1238-01-01,выделение Белозерского княжества из Ростовского,1,Белозерское княжество,https://runivers.ru/doc/rusland/knyazhestva/481119/,
887,1361-12-31,1246-01-01,образование Брянского княжества,1,Брянское княжество,https://runivers.ru/doc/rusland/knyazhestva/482973/,
803,1383-12-31,1212-01-01,образование Владимирского княжества,1,Владимирское княжество,https://runivers.ru/doc/rusland/knyazhestva/482960/,
1104,1238-12-31,1156-01-01,обособление Волынской земли,1,Волынская земля,https://runivers.ru/doc/rusland/knyazhestva/481063/,
1102,1238-12-31,1141-01-01,обособление Галицкой земли,1,Галицкая земля,https://runivers.ru/doc/rusland/knyazhestva/481062/,
1058,1339-12-31,1239-01-01,создание Галицко-Волынского княжества,1,Галицко-Волынское княжество,https://runivers.ru/doc/rusland/knyazhestva/481122/,
884,1279-12-31,1247-01-01,выделение Галицко-Дмитровского княжества из Великого княжества Владимирского,1,Галицко-Дмитровское княжество,https://runivers.ru/doc/rusland/knyazhestva/481122/,
885,1279-12-31,1247-01-01,выделение Галицко-Дмитровского княжества из Великого княжества Владимирского,1,Галицко-Дмитровское княжество,https://runivers.ru/doc/rusland/knyazhestva/481122/,
792,1363-12-31,1280-01-01,разделение Галицко-Дмитровского княжества,1,Галичское княжество,https://runivers.ru/doc/rusland/knyazhestva/482964/,
799,1320-12-31,1263-01-01,образование Городецкого княжества,1,Городецкое княжество,https://runivers.ru/doc/rusland/knyazhestva/481123/,
793,1336-12-31,1280-01-01,разделение Галицко-Дмитровского княжества,1,Дмитровское княжество,https://runivers.ru/doc/rusland/knyazhestva/482963/,
814,1360-12-31,1246-01-01,выделение Карачевского княжества,1,Карачевское княжество,https://runivers.ru/doc/rusland/knyazhestva/482971/,
1131,1299-12-31,1246-01-01,образование Карачевского княжества,1,Карачевское княжество,https://runivers.ru/doc/rusland/knyazhestva/482971/,
893,1361-12-31,1132-01-01,обособление Киевской земли,1,Киевская земля,https://runivers.ru/doc/rusland/knyazhestva/481060/,
782,1402-12-31,1300-01-01,выделение Козельского княжества из Карачевского,1,Козельское княжество,https://runivers.ru/doc/rusland/knyazhestva/482972/,
1130,1369-12-31,1300-01-01,выделение Козельского княжества из Карачевского,1,Козельское княжество,https://runivers.ru/doc/rusland/knyazhestva/482972/,
819,1447-12-31,1403-01-01,переход Козельска под юрисдикцию Москвы,1,Московское княжество,https://runivers.ru/doc/rusland/knyazhestva/482972/,
811,1276-12-31,1247-01-01,образование Костромского княжества,1,Костромское княжество,https://runivers.ru/doc/rusland/knyazhestva/481124/,
156,1547-01-16,1263-01-01,образование Московского княжества,1,Московское княжество,https://runivers.ru/doc/rusland/knyazhestva/481126/,
816,1363-12-31,1341-01-01,создание Нижегородско-Суздальского княжества,1,Московское княжество,https://runivers.ru/doc/rusland/knyazhestva/481128/,
648,1391-12-31,1341-01-01,создание Нижегородско-Суздальского княжества,1,Нижегородско-Суздальское княжество,https://runivers.ru/doc/rusland/knyazhestva/481128/,
801,1392-12-31,1127-01-01,выделение Муромо-Рязанской земли из Черниговской,1,Муромское княжество,https://runivers.ru/doc/rusland/knyazhestva/481055/,
634,1478-01-15,1132-01-01,,1,Новгородская земля,https://runivers.ru/doc/rusland/knyazhestva/481056/,образование не 1136?
1075,1361-12-31,1132-01-01,обособление Переяславской земли,1,Переяславская земля,https://runivers.ru/doc/rusland/knyazhestva/481061/,
1065,1305-12-31,1132-01-01,обособление Полоцкой земли,1,Полоцкое княжество,https://runivers.ru/doc/rusland/knyazhestva/481064/,Полоцкая земля?
630,1398-12-31,1266-01-01,начало княжения Довмонта - фактическая независимость от Новгорода,1,Псков,https://runivers.ru/doc/rusland/knyazhestva/481144/,
796,1363-12-31,1218-01-01,создание Ростовского княжества,1,Ростовское княжество,https://runivers.ru/doc/rusland/knyazhestva/481132/,
815,1363-12-31,1218-01-01,создание Ростовского княжества,1,Ростовское княжество,https://runivers.ru/doc/rusland/knyazhestva/481132/,
645,1521-01-01,1140-01-01,обособление Рязанской земли,1,Рязанская земля,https://runivers.ru/doc/rusland/knyazhestva/481057/,
809,1404-12-31,1132-01-01,обособление Смоленской земли,1,Смоленская земля,https://runivers.ru/doc/rusland/knyazhestva/481134/,
468,1362-12-31,1238-01-01,образование Стародубского княжества,1,Стародубское княжество,https://runivers.ru/doc/rusland/knyazhestva/481135/,
1082,1256-12-31,1108-01-01,обособление Суздальской земли,1,Суздальская земля,https://runivers.ru/doc/rusland/knyazhestva/481054/,
798,1341-12-31,1257-01-01,образование Суздальского княжества,1,Суздальское княжество,https://runivers.ru/doc/rusland/knyazhestva/481136/,
785,1392-12-31,1246-01-01,выделение Тарусского княжества,1,Тарусское княжество,https://runivers.ru/doc/rusland/knyazhestva/482969/,
641,1485-09-12,1247-01-01,образование Тверского княжества,1,Тверское княжество,https://runivers.ru/doc/rusland/knyazhestva/481137/,
1062,1325-12-31,1162-01-01,обособление Турово-Пинской земли от Киевской,1,Турово-Пинская земля,https://runivers.ru/doc/rusland/knyazhestva/481065/,
795,1329-12-31,1218-01-01,создание Угличского княжества,1,Угличское княжество,https://runivers.ru/doc/rusland/knyazhestva/481138/,
1087,1245-12-31,1094-01-01,обособление Черниговской земли,1,Черниговская земля,https://runivers.ru/doc/rusland/knyazhestva/481058/,
794,1347-12-31,1212-01-01,создание Юрьевского княжества,1,Юрьевское княжество,https://runivers.ru/doc/rusland/knyazhestva/481140/,
800,1447-12-31,1218-01-01,создание Ярославского княжества,1,Ярославское княжество,https://runivers.ru/doc/rusland/knyazhestva/481141/,
797,1464-01-01,1218-01-01,создание Ярославского княжества,1,Ярославское княжество,https://runivers.ru/doc/rusland/knyazhestva/481141/,
646,1441-12-31,1246-01-01,образование Глуховско-Новосильского княжества,2,Глуховско-Новосильское княжество,https://runivers.ru/doc/rusland/knyazhestva/482970/,
