fid,name,years_from,years_to,ruler,desc_link
791,Белозерское княжество,1238,1277,Глеб Василькович,https://runivers.ru/doc/rusland/knyazheniya/481491/
791,Белозерское княжество,1278,1278,Михаил Глебович,https://runivers.ru/doc/rusland/knyazheniya/481492/
791,Белозерское княжество,1279,1286,Дмитрий Борисович,https://runivers.ru/doc/rusland/knyazheniya/481493/
791,Белозерское княжество,1287,1292,Правитель не известен,
791,Белозерское княжество,1293,1314,"Федор Михайлович
(Возможно начало правления - 1302 г. Дата конца правления дана приблизительно.)",https://runivers.ru/doc/rusland/knyazheniya/481494/
791,Белозерское княжество,1315,1339,"Роман Михайлович
(Даты начала и конца правления даны приблизительно",https://runivers.ru/doc/rusland/knyazheniya/481495/
803,Владимирское княжество,1157,1174,Андрей Юрьевич Боголюбский,https://runivers.ru/doc/rusland/knyazheniya/576369/
803,Владимирское княжество,1175,1175,Ярополк Ростиславич,https://runivers.ru/doc/rusland/knyazheniya/576370/
803,Владимирское княжество,1176,1176,Михаил (Михалко) Юрьевич,https://runivers.ru/doc/rusland/knyazheniya/576372/
803,Владимирское княжество,1176,1212,Всеволод Юрьевич,https://runivers.ru/doc/rusland/knyazheniya/576373/
803,Владимирское княжество,1213,1216,Юрий Всеволодович (1-й раз),https://runivers.ru/doc/rusland/knyazheniya/576406/
803,Владимирское княжество,1217,1218,Константин Всеволодович,https://runivers.ru/doc/rusland/knyazheniya/576407/
803,Владимирское княжество,1219,1238,Юрий Всеволодович (2-й раз),https://runivers.ru/doc/rusland/knyazheniya/576408/
803,Владимирское княжество,1238,1246,Ярослав Всеволодович,https://runivers.ru/doc/rusland/knyazheniya/576409/
803,Владимирское княжество,1247,1247,Святослав Всеволодович,https://runivers.ru/doc/rusland/knyazheniya/576410/
803,Владимирское княжество,1248,1248,Михаил Ярославич,https://runivers.ru/doc/rusland/knyazheniya/576411/
803,Владимирское княжество,1249,1252,Андрей Ярославич,https://runivers.ru/doc/rusland/knyazheniya/576414/
